flux+ [cm^-2 s^-1],-err [cm^-2 s^-1],Blanco
-1.028e-12,-1.028e-12, 
6.695e-13,6.695e-13, 
-1.135e-12,-1.135e-12, 
3.177e-12,3.177e-12, 
8.993e-13,8.993e-13, 
2.958e-13,2.958e-13, 
8.337e-13,8.337e-13, 
2.728e-12,2.728e-12, 
-1.047e-12,-1.047e-12, 
1.022e-12,1.022e-12, 
-1.576e-12,-1.576e-12, 
2.462e-12,2.462e-12, 
5.625e-13,5.625e-13, 
3.786e-12,3.786e-12, 
3.723e-12,3.723e-12, 
1.073e-12,1.073e-12, 
3.169e-12,3.169e-12, 
8.048e-13,8.048e-13, 
4.282e-12,4.282e-12, 
1.504e-12,1.504e-12, 
4.385e-12,4.385e-12, 
2.657e-12,2.657e-12, 
1.759e-12,1.759e-12, 
2.273e-12,2.273e-12, 
3.393e-13,3.393e-13, 
1.743e-12,1.743e-12, 
2.171e-12,2.171e-12, 
1.89e-12,1.89e-12, 
4.959e-12,4.959e-12, 
1.666e-12,1.666e-12, 
2.193e-12,2.193e-12, 
-2.646e-12,-2.646e-12, 
2.029e-12,2.029e-12, 
2.815e-12,2.815e-12, 
2.47e-12,2.47e-12, 
1.272e-12,1.272e-12, 
-1.455e-12,-1.455e-12, 
1.564e-12,1.564e-12, 
2.689e-13,2.689e-13, 
1.765e-12,1.765e-12, 
3.153e-12,3.153e-12, 
1.368e-12,1.368e-12, 
1.775e-12,1.775e-12, 
3.548e-13,3.548e-13, 
4.448e-13,4.448e-13, 
1.81e-13,1.81e-13, 
-2.648e-12,-2.648e-12, 
1.675e-12,1.675e-12, 
3.854e-12,3.854e-12, 
1.219e-12,1.219e-12, 
-1.094e-12,-1.094e-12, 
3.259e-12,3.259e-12, 
-2.302e-13,-2.302e-13, 
1.509e-12,1.509e-12, 
6.886e-13,6.886e-13, 
3.296e-12,3.296e-12, 
6.285e-13,6.285e-13, 
2.878e-12,2.878e-12, 
1.792e-12,1.792e-12, 
1.128e-11,1.128e-11, 
8.31e-12,8.31e-12, 
2.964e-13,2.964e-13, 
4.512e-12,4.512e-12, 
4.104e-12,4.104e-12, 
5.332e-12,5.332e-12, 
3.653e-12,3.653e-12, 
1.156e-12,1.156e-12, 
-1.718e-13,-1.718e-13, 
2.204e-12,2.204e-12, 
2.843e-12,2.843e-12, 
3.307e-12,3.307e-12, 
3.321e-13,3.321e-13, 
6.119e-13,6.119e-13, 
